"","Survived","Pclass","Title","Embarked","FamilyType","AgeType","Fare_per_person","type","PassengerId"
"112","0","3","Miss","C","Regular","Child",7.2271,"train",112
"113","0","3","Mr","S","Single","Adult",8.05,"train",113
"114","0","3","Miss","S","Regular","Adult",9.825,"train",114
"115","0","3","Miss","C","Single","Child",7.22915,"train",115
"116","0","3","Mr","S","Single","Adult",7.925,"train",116
"117","0","3","Mr","Q","Single","Elder",7.75,"train",117
"118","0","2","Mr","S","Regular","Adult",10.5,"train",118
"119","0","1","Mr","C","Regular","Adult",82.5069333333333,"train",119
"120","0","3","Miss","S","Large","Child",4.46785714285714,"train",120
"121","0","2","Mr","S","Regular","Adult",10.5,"train",121
"122","0","3","Mr","S","Single","Child",8.05,"train",122
"123","0","2","Mr","C","Regular","Adult",15.0354,"train",123
"124","1","2","Miss","S","Single","Adult",13,"train",124
"125","0","1","Mr","S","Regular","Adult",38.64375,"train",125
"126","1","3","Master","C","Regular","Child",5.62085,"train",126
"127","0","3","Mr","Q","Single","Elder",7.75,"train",127
"128","1","3","Mr","S","Single","Adult",7.1417,"train",128
"129","1","3","Miss","C","Regular","Child",7.45276666666667,"train",129
"130","0","3","Mr","S","Single","Adult",6.975,"train",130
"131","0","3","Mr","C","Single","Adult",7.8958,"train",131
"132","0","3","Mr","S","Single","Adult",7.05,"train",132
"133","0","3","Mrs","S","Regular","Adult",7.25,"train",133
"134","1","2","Mrs","S","Regular","Adult",13,"train",134
"135","0","2","Mr","S","Single","Adult",13,"train",135
"136","0","2","Mr","C","Single","Adult",15.0458,"train",136
"137","1","1","Miss","S","Regular","Adult",26.2833,"train",137
"138","0","1","Mr","S","Regular","Adult",26.55,"train",138
"139","0","3","Mr","S","Single","Child",4.60835,"train",139
"140","0","1","Mr","C","Single","Adult",39.6,"train",140
"141","0","3","Mrs","C","Regular","Adult",5.08193333333333,"train",141
"142","1","3","Miss","S","Single","Adult",7.75,"train",142
"143","1","3","Mrs","S","Regular","Adult",7.925,"train",143
"144","0","3","Mr","Q","Single","Adult",6.75,"train",144
"145","0","2","Mr","S","Single","Adult",11.5,"train",145
"146","0","2","Mr","S","Regular","Adult",9.1875,"train",146
"147","1","3","Mr","S","Single","Adult",7.7958,"train",147
"148","0","3","Miss","S","Large","Child",6.875,"train",148
"149","0","2","Mr","S","Regular","Adult",8.66666666666667,"train",149
"150","0","2","Mr","S","Single","Adult",13,"train",150
"151","0","2","Mr","S","Single","Adult",12.525,"train",151
"152","1","1","Mrs","S","Regular","Adult",33.3,"train",152
"153","0","3","Mr","S","Single","Adult",8.05,"train",153
"154","0","3","Mr","S","Regular","Adult",4.83333333333333,"train",154
"155","0","3","Mr","S","Single","Adult",7.3125,"train",155
"156","0","1","Mr","C","Regular","Adult",30.6896,"train",156
"157","1","3","Miss","Q","Single","Child",7.7333,"train",157
"158","0","3","Mr","S","Single","Adult",8.05,"train",158
"159","0","3","Mr","S","Single","Adult",8.6625,"train",159
"160","0","3","Master","S","Large","Child",6.32272727272727,"train",160
"161","0","3","Mr","S","Regular","Adult",8.05,"train",161
"162","1","2","Mrs","S","Single","Adult",7.875,"train",162
"163","0","3","Mr","S","Single","Adult",7.775,"train",163
"164","0","3","Mr","S","Single","Child",8.6625,"train",164
"165","0","3","Master","S","Large","Child",5.66964285714286,"train",165
"166","1","3","Master","S","Regular","Child",6.84166666666667,"train",166
"167","1","1","Mrs","S","Regular","Adult",27.5,"train",167
"168","0","3","Mrs","S","Large","Adult",4.65,"train",168
"169","0","1","Mr","S","Single","Adult",25.925,"train",169
"170","0","3","Mr","S","Single","Adult",7.061975,"train",170
"171","0","1","Mr","S","Single","Adult",33.5,"train",171
"172","0","3","Master","Q","Large","Child",4.85416666666667,"train",172
"173","1","3","Miss","S","Regular","Child",3.7111,"train",173
"174","0","3","Mr","S","Single","Adult",7.925,"train",174
"175","0","1","Mr","C","Single","Adult",30.6958,"train",175
"176","0","3","Mr","S","Regular","Adult",7.8542,"train",176
"177","0","3","Master","S","Large","Child",5.09334,"train",177
"178","0","1","Miss","C","Single","Adult",28.7125,"train",178
"179","0","2","Mr","S","Single","Adult",13,"train",179
"180","0","3","Mr","S","Single","Adult",0,"train",180
"181","0","3","Miss","S","Large","Child",6.32272727272727,"train",181
"182","0","2","Mr","C","Single","Adult",15.05,"train",182
"183","0","3","Master","S","Large","Child",4.48392857142857,"train",183
"184","1","2","Master","S","Regular","Child",9.75,"train",184
"185","1","3","Miss","S","Regular","Child",7.34166666666667,"train",185
"186","0","1","Mr","S","Single","Adult",50,"train",186
"187","1","3","Mrs","Q","Regular","Elder",7.75,"train",187
"188","1","1","Mr","S","Single","Adult",26.55,"train",188
"189","0","3","Mr","Q","Regular","Adult",7.75,"train",189
"190","0","3","Mr","S","Single","Adult",7.8958,"train",190
"191","1","2","Mrs","S","Single","Adult",13,"train",191
"192","0","2","Mr","S","Single","Adult",13,"train",192
"193","1","3","Miss","S","Regular","Adult",7.8542,"train",193
"194","1","2","Master","S","Regular","Child",8.66666666666667,"train",194
"195","1","1","Mrs","C","Single","Adult",27.7208,"train",195
"196","1","1","Miss","C","Single","Adult",48.8402666666667,"train",196
"197","0","3","Mr","Q","Single","Elder",7.75,"train",197
"198","0","3","Mr","S","Regular","Adult",8.4042,"train",198
"199","1","3","Miss","Q","Single","Adult",7.75,"train",199
"200","0","2","Miss","S","Single","Adult",13,"train",200
"201","0","3","Mr","S","Single","Adult",9.5,"train",201
"202","0","3","Mr","S","Large","Adult",6.32272727272727,"train",202
"203","0","3","Mr","S","Single","Adult",6.4958,"train",203
"204","0","3","Mr","C","Single","Adult",7.225,"train",204
"205","1","3","Mr","S","Single","Adult",8.05,"train",205
"206","0","3","Miss","S","Regular","Child",5.23125,"train",206
"207","0","3","Mr","S","Regular","Adult",7.925,"train",207
"208","1","3","Mr","C","Single","Adult",9.39375,"train",208
"209","1","3","Miss","Q","Single","Child",7.75,"train",209
"210","1","1","Mr","C","Single","Adult",31,"train",210
"211","0","3","Mr","S","Single","Adult",7.05,"train",211
"212","1","2","Miss","S","Single","Adult",10.5,"train",212
"213","0","3","Mr","S","Single","Adult",7.25,"train",213
"214","0","2","Mr","S","Single","Adult",13,"train",214
"215","0","3","Mr","Q","Regular","Adult",7.75,"train",215
"216","1","1","Miss","C","Regular","Adult",37.7583333333333,"train",216
"217","1","3","Miss","S","Single","Adult",7.925,"train",217
"218","0","2","Mr","S","Regular","Adult",13.5,"train",218
"219","1","1","Miss","C","Single","Adult",38.14585,"train",219
"220","0","2","Mr","S","Single","Adult",10.5,"train",220
"221","1","3","Mr","S","Single","Child",8.05,"train",221
"222","0","2","Mr","S","Single","Adult",13,"train",222
"223","0","3","Mr","S","Single","Adult",8.05,"train",223
"224","0","3","Mr","S","Single","Adult",7.8958,"train",224
"225","1","1","Mr","S","Regular","Adult",45,"train",225
"226","0","3","Mr","S","Single","Adult",9.35,"train",226
"227","1","2","Mr","S","Single","Adult",10.5,"train",227
"228","0","3","Mr","S","Single","Adult",7.25,"train",228
"229","0","2","Mr","S","Single","Adult",13,"train",229
"230","0","3","Miss","S","Large","Child",5.09334,"train",230
"231","1","1","Mrs","S","Regular","Adult",41.7375,"train",231
"232","0","3","Mr","S","Single","Adult",7.775,"train",232
"233","0","2","Mr","S","Single","Adult",13.5,"train",233
"234","1","3","Miss","S","Large","Child",4.48392857142857,"train",234
"235","0","2","Mr","S","Single","Adult",10.5,"train",235
"236","0","3","Miss","S","Single","Adult",7.55,"train",236
"237","0","2","Mr","S","Regular","Adult",13,"train",237
"238","1","2","Miss","S","Regular","Child",8.75,"train",238
"239","0","2","Mr","S","Single","Adult",10.5,"train",239
"240","0","2","Mr","S","Single","Adult",12.275,"train",240
"241","0","3","Miss","C","Regular","Adult",7.2271,"train",241
"242","1","3","Miss","Q","Regular","Child",7.75,"train",242
"243","0","2","Mr","S","Single","Adult",10.5,"train",243
"244","0","3","Mr","S","Single","Adult",7.125,"train",244
"245","0","3","Mr","C","Single","Adult",7.225,"train",245
"246","0","1","Mr","Q","Regular","Adult",30,"train",246
"247","0","3","Miss","S","Single","Adult",7.775,"train",247
"248","1","2","Mrs","S","Regular","Adult",7.25,"train",248
"249","1","1","Mr","S","Regular","Adult",26.2771,"train",249
"250","0","2","Mr","S","Regular","Adult",13,"train",250
"251","0","3","Mr","S","Single","Adult",7.25,"train",251
"252","0","3","Mrs","S","Regular","Adult",5.23125,"train",252
"253","0","1","Mr","S","Single","Adult",26.55,"train",253
"254","0","3","Mr","S","Regular","Adult",8.05,"train",254
"255","0","3","Mrs","S","Regular","Adult",6.7375,"train",255
"256","1","3","Mrs","C","Regular","Adult",5.08193333333333,"train",256
"257","1","1","Mrs","C","Single","Adult",39.6,"train",257
"258","1","1","Miss","S","Single","Adult",28.8333333333333,"train",258
"259","1","1","Miss","C","Single","Adult",128.0823,"train",259
"260","1","2","Mrs","S","Regular","Adult",13,"train",260
"261","0","3","Mr","Q","Single","Adult",7.75,"train",261
"262","1","3","Master","S","Large","Child",4.48392857142857,"train",262
"263","0","1","Mr","S","Regular","Adult",26.55,"train",263
"264","0","1","Mr","S","Single","Adult",0,"train",264
"265","0","3","Miss","Q","Single","Adult",7.75,"train",265
"266","0","2","Mr","S","Single","Adult",10.5,"train",266
"267","0","3","Mr","S","Large","Child",5.66964285714286,"train",267
"268","1","3","Mr","S","Regular","Adult",7.775,"train",268
"269","1","1","Mrs","S","Regular","Adult",51.1541666666667,"train",269
"270","1","1","Miss","S","Single","Adult",33.908325,"train",270
"271","0","1","Mr","S","Single","Adult",15.5,"train",271
"272","1","3","Mr","S","Single","Adult",0,"train",272
"273","1","2","Mrs","S","Regular","Adult",9.75,"train",273
"274","0","1","Mr","C","Regular","Adult",29.7,"train",274
"275","1","3","Miss","Q","Single","Elder",7.75,"train",275
"276","1","1","Miss","S","Regular","Adult",25.9861,"train",276
"277","0","3","Miss","S","Single","Adult",7.75,"train",277
"278","0","2","Mr","S","Single","Adult",0,"train",278
"279","0","3","Master","Q","Large","Child",4.85416666666667,"train",279
"280","1","3","Mrs","S","Regular","Adult",6.75,"train",280
"281","0","3","Mr","Q","Single","Elder",7.75,"train",281
"282","0","3","Mr","S","Single","Adult",7.8542,"train",282
"283","0","3","Mr","S","Single","Child",9.5,"train",283
"284","1","3","Mr","S","Single","Adult",8.05,"train",284
"285","0","1","Mr","S","Single","Adult",26,"train",285
"286","0","3","Mr","C","Single","Adult",8.6625,"train",286
"287","1","3","Mr","S","Single","Adult",9.5,"train",287
"288","0","3","Mr","S","Single","Adult",7.8958,"train",288
"289","1","2","Mr","S","Single","Adult",13,"train",289
"290","1","3","Miss","Q","Single","Adult",7.75,"train",290
"291","1","1","Miss","S","Single","Adult",26.2833333333333,"train",291
"292","1","1","Mrs","C","Regular","Adult",45.5396,"train",292
"293","0","2","Mr","C","Single","Adult",12.875,"train",293
"294","0","3","Miss","S","Single","Adult",8.85,"train",294
"295","0","3","Mr","S","Single","Adult",7.8958,"train",295
"296","0","1","Mr","C","Single","Adult",27.7208,"train",296
"297","0","3","Mr","C","Single","Adult",7.2292,"train",297
"298","0","1","Miss","S","Regular","Child",25.2583333333333,"train",298
"299","1","1","Mr","S","Single","Adult",30.5,"train",299
"300","1","1","Mrs","C","Regular","Adult",82.5069333333333,"train",300
"301","1","3","Miss","Q","Single","Adult",7.75,"train",301
"302","1","3","Mr","Q","Regular","Adult",7.75,"train",302
"303","0","3","Mr","S","Single","Adult",0,"train",303
"304","1","2","Miss","Q","Single","Adult",12.35,"train",304
"305","0","3","Mr","S","Single","Adult",8.05,"train",305
"306","1","1","Master","S","Regular","Child",25.2583333333333,"train",306
"307","1","1","Miss","C","Single","Adult",27.720825,"train",307
"308","1","1","Mrs","C","Regular","Child",36.3,"train",308
"309","0","2","Mr","C","Regular","Adult",12,"train",309
"310","1","1","Miss","C","Single","Adult",28.4646,"train",310
"311","1","1","Miss","C","Single","Adult",27.7194333333333,"train",311
"312","1","1","Miss","C","Large","Adult",37.4821428571429,"train",312
"313","0","2","Mrs","S","Regular","Adult",13,"train",313
"314","0","3","Mr","S","Single","Adult",7.8958,"train",314
"315","0","2","Mr","S","Regular","Adult",8.75,"train",315
"316","1","3","Miss","S","Single","Adult",7.8542,"train",316
"317","1","2","Mrs","S","Regular","Adult",13,"train",317
"318","0","2","Mr","S","Single","Adult",14,"train",318
"319","1","1","Miss","S","Regular","Adult",41.216675,"train",319
"320","1","1","Mrs","C","Regular","Adult",26.9,"train",320
"321","0","3","Mr","S","Single","Adult",7.25,"train",321
"322","0","3","Mr","S","Single","Adult",7.8958,"train",322
"323","1","2","Miss","Q","Single","Adult",12.35,"train",323
"324","1","2","Mrs","S","Regular","Adult",9.66666666666667,"train",324
"325","0","3","Mr","S","Large","Adult",6.32272727272727,"train",325
"326","1","1","Miss","C","Single","Adult",33.908325,"train",326
"327","0","3","Mr","S","Single","Adult",6.2375,"train",327
"328","1","2","Mrs","S","Single","Adult",13,"train",328
"329","1","3","Mrs","S","Regular","Adult",6.84166666666667,"train",329
"330","1","1","Miss","C","Regular","Child",28.9896,"train",330
"331","1","3","Miss","Q","Regular","Adult",7.75,"train",331
"332","0","1","Mr","S","Single","Adult",28.5,"train",332
"333","0","1","Mr","S","Regular","Adult",51.1541666666667,"train",333
"334","0","3","Mr","S","Regular","Child",9,"train",334
"335","1","1","Mrs","S","Regular","Adult",66.825,"train",335
"336","0","3","Mr","S","Single","Child",7.8958,"train",336
"337","0","1","Mr","S","Regular","Adult",33.3,"train",337
"338","1","1","Miss","C","Single","Adult",26.9,"train",338
"339","1","3","Mr","S","Single","Adult",8.05,"train",339
"340","0","1","Mr","S","Single","Adult",35.5,"train",340
"341","1","2","Master","S","Regular","Child",8.66666666666667,"train",341
"342","1","1","Miss","S","Large","Adult",43.8333333333333,"train",342
"343","0","2","Mr","S","Single","Adult",13,"train",343
"344","0","2","Mr","S","Single","Adult",13,"train",344
"345","0","2","Mr","S","Single","Adult",13,"train",345
"346","1","2","Miss","S","Single","Adult",13,"train",346
"347","1","2","Miss","S","Single","Adult",13,"train",347
"348","1","3","Mrs","S","Regular","Adult",8.05,"train",348
"349","1","3","Master","S","Regular","Child",5.3,"train",349
"350","0","3","Mr","S","Single","Adult",8.6625,"train",350
"351","0","3","Mr","S","Single","Adult",9.225,"train",351
"352","0","1","Mr","S","Single","Adult",35,"train",352
"353","0","3","Mr","C","Regular","Child",7.2292,"train",353
"354","0","3","Mr","S","Regular","Adult",8.9,"train",354
"355","0","3","Mr","C","Single","Adult",7.225,"train",355
"356","0","3","Mr","S","Single","Adult",9.5,"train",356
"357","1","1","Miss","S","Regular","Adult",27.5,"train",357
"358","0","2","Miss","S","Single","Adult",13,"train",358
"359","1","3","Miss","Q","Single","Child",7.8792,"train",359
"360","1","3","Miss","Q","Single","Child",7.8792,"train",360
"361","0","3","Mr","S","Large","Adult",4.65,"train",361
"362","0","2","Mr","C","Regular","Adult",13.8604,"train",362
"363","0","3","Mrs","C","Regular","Adult",7.2271,"train",363
"364","0","3","Mr","S","Single","Adult",7.05,"train",364
"365","0","3","Mr","Q","Regular","Adult",7.75,"train",365
"366","0","3","Mr","S","Single","Adult",7.25,"train",366
"367","1","1","Mrs","C","Regular","Adult",37.625,"train",367
"368","1","3","Mrs","C","Single","Adult",7.2292,"train",368
"369","1","3","Miss","Q","Single","Child",7.75,"train",369
"370","1","1","Mrs","C","Single","Adult",34.65,"train",370
"371","1","1","Mr","C","Regular","Adult",27.72085,"train",371
"372","0","3","Mr","S","Regular","Adult",6.4958,"train",372
"373","0","3","Mr","S","Single","Adult",8.05,"train",373
"374","0","1","Mr","C","Single","Adult",33.908325,"train",374
"375","0","3","Miss","S","Large","Child",4.215,"train",375
"376","1","1","Mrs","C","Regular","Adult",41.0854,"train",376
"377","1","3","Miss","S","Single","Adult",7.25,"train",377
"378","0","1","Mr","C","Regular","Adult",42.3,"train",378
"379","0","3","Mr","C","Single","Adult",4.0125,"train",379
"380","0","3","Mr","S","Single","Adult",7.775,"train",380
"381","1","1","Miss","C","Single","Adult",45.505,"train",381
"382","1","3","Miss","C","Regular","Child",5.24723333333333,"train",382
"383","0","3","Mr","S","Single","Adult",7.925,"train",383
"384","1","1","Mrs","S","Regular","Adult",26,"train",384
"385","0","3","Mr","S","Single","Adult",7.8958,"train",385
"386","0","2","Mr","S","Single","Adult",10.5,"train",386
"387","0","3","Master","S","Large","Child",5.8625,"train",387
"388","1","2","Miss","S","Single","Adult",13,"train",388
"389","0","3","Mr","Q","Single","Adult",7.7292,"train",389
"390","1","2","Miss","C","Single","Child",12,"train",390
"391","1","1","Mr","S","Regular","Adult",30,"train",391
"392","1","3","Mr","S","Single","Adult",7.7958,"train",392
"393","0","3","Mr","S","Regular","Adult",7.925,"train",393
"394","1","1","Miss","C","Regular","Adult",37.7583333333333,"train",394
"395","1","3","Mrs","S","Regular","Adult",5.56666666666667,"train",395
"396","0","3","Mr","S","Single","Adult",7.7958,"train",396
"397","0","3","Miss","S","Single","Adult",7.8542,"train",397
"398","0","2","Mr","S","Single","Adult",13,"train",398
"399","0","2","Mr","S","Single","Adult",10.5,"train",399
"400","1","2","Mrs","S","Single","Adult",12.65,"train",400
"401","1","3","Mr","S","Single","Adult",7.925,"train",401
"402","0","3","Mr","S","Single","Adult",8.05,"train",402
"403","0","3","Miss","S","Regular","Adult",9.825,"train",403
"404","0","3","Mr","S","Regular","Adult",7.925,"train",404
"405","0","3","Miss","S","Single","Adult",8.6625,"train",405
"406","0","2","Mr","S","Regular","Adult",10.5,"train",406
"407","0","3","Mr","S","Single","Adult",7.75,"train",407
"408","1","2","Master","S","Regular","Child",6.25,"train",408
"409","0","3","Mr","S","Single","Adult",7.775,"train",409
"410","0","3","Miss","S","Large","Child",5.09334,"train",410
"411","0","3","Mr","S","Single","Adult",7.8958,"train",411
"412","0","3","Mr","Q","Single","Adult",6.8583,"train",412
"413","1","1","Miss","Q","Regular","Adult",30,"train",413
"414","0","2","Mr","S","Single","Adult",0,"train",414
"415","1","3","Mr","S","Single","Adult",7.925,"train",415
"416","0","3","Mrs","S","Single","Adult",8.05,"train",416
"417","1","2","Mrs","S","Regular","Adult",10.8333333333333,"train",417
"418","1","2","Miss","S","Regular","Adult",13,"train",418
"419","0","2","Mr","S","Single","Adult",13,"train",419
"420","0","3","Miss","S","Regular","Child",8.05,"train",420
"421","0","3","Mr","C","Single","Adult",7.8958,"train",421
"422","0","3","Mr","Q","Single","Adult",7.7333,"train",422
"423","0","3","Mr","S","Single","Adult",7.875,"train",423
"424","0","3","Mrs","S","Regular","Adult",4.8,"train",424
"425","0","3","Mr","S","Regular","Adult",6.7375,"train",425
"426","0","3","Mr","S","Single","Adult",7.25,"train",426
"427","1","2","Mrs","S","Regular","Adult",13,"train",427
"428","1","2","Miss","S","Single","Adult",13,"train",428
"429","0","3","Mr","Q","Single","Adult",7.75,"train",429
"430","1","3","Mr","S","Single","Adult",8.05,"train",430
"431","1","1","Mr","S","Single","Adult",26.55,"train",431
"432","1","3","Mrs","S","Regular","Adult",8.05,"train",432
"433","1","2","Mrs","S","Regular","Adult",13,"train",433
"434","0","3","Mr","S","Single","Child",7.125,"train",434
"435","0","1","Mr","S","Regular","Adult",27.95,"train",435
"436","1","1","Miss","S","Regular","Child",30,"train",436
"437","0","3","Miss","S","Large","Adult",6.875,"train",437
"438","1","2","Mrs","S","Large","Adult",6.25,"train",438
"439","0","1","Mr","S","Large","Adult",43.8333333333333,"train",439
"440","0","2","Mr","S","Single","Adult",10.5,"train",440
"441","1","2","Mrs","S","Regular","Adult",8.75,"train",441
"442","0","3","Mr","S","Single","Adult",9.5,"train",442
"443","0","3","Mr","S","Regular","Adult",7.775,"train",443
"444","1","2","Miss","S","Single","Adult",13,"train",444
"445","1","3","Mr","S","Single","Adult",8.1125,"train",445
"446","1","1","Master","S","Regular","Child",27.2861,"train",446
"447","1","2","Miss","S","Regular","Child",9.75,"train",447
"448","1","1","Mr","S","Single","Adult",26.55,"train",448
"449","1","3","Miss","C","Regular","Child",4.814575,"train",449
"450","1","1","Mr","S","Single","Adult",30.5,"train",450
"451","0","2","Mr","S","Regular","Adult",6.9375,"train",451
"452","0","3","Mr","S","Regular","Adult",19.9667,"train",452
"453","0","1","Mr","C","Single","Adult",27.75,"train",453
"454","1","1","Mr","C","Regular","Adult",44.5521,"train",454
"455","0","3","Mr","S","Single","Adult",8.05,"train",455
"456","1","3","Mr","C","Single","Adult",7.8958,"train",456
"457","0","1","Mr","S","Single","Elder",26.55,"train",457
"458","1","1","Mrs","S","Regular","Adult",25.93125,"train",458
"459","1","2","Miss","S","Single","Adult",10.5,"train",459
"460","0","3","Mr","Q","Single","Child",7.75,"train",460
"461","1","1","Mr","S","Single","Adult",26.55,"train",461
"462","0","3","Mr","S","Single","Adult",8.05,"train",462
"463","0","1","Mr","S","Single","Adult",38.5,"train",463
"464","0","2","Mr","S","Single","Adult",13,"train",464
"465","0","3","Mr","S","Single","Adult",8.05,"train",465
"466","0","3","Mr","S","Single","Adult",7.05,"train",466
